,title,publication_info,cited_by
766,Machine learning-based orchestration of containers: A taxonomy and future directions,"Z Zhong, M Xu, MA Rodriguez, C Xu… - ACM Computing Surveys …, 2022 - dl.acm.org",Cited by 120
767,[HTML][HTML] Supply chain risk management with machine learning technology: A literature review and future research directions,"M Yang, MK Lim, Y Qu, D Ni, Z Xiao - Computers & Industrial Engineering, 2023 - Elsevier",Cited by 61
768,Machine-learning potentials for crystal defects,"R Freitas, Y Cao - MRS Communications, 2022 - Springer",Cited by 29
769,Plant disease detection using machine learning approaches,"I Ahmed, PK Yadav - Expert Systems, 2023 - Wiley Online Library",Cited by 58
770,"Data-driven machine learning and neural network algorithms in the retailing environment: Consumer engagement, experience, and purchase behaviors","T Kliestik, K Zvarikova, G Lăzăroiu - Economics, Management and …, 2022 - ceeol.com",Cited by 125
771,Machine learning-enabled globally guaranteed evolutionary computation,"B Li, Z Wei, J Wu, S Yu, T Zhang, C Zhu… - Nature Machine …, 2023 - nature.com",Cited by 17
772,Confusion matrix: Machine learning,"J Liang - POGIL Activity Clearinghouse, 2022 - pac.pogil.org",Cited by 71
773,Review on alzheimer disease detection methods: Automatic pipelines and machine learning techniques,"A Shukla, R Tiwari, S Tiwari - Sci, 2023 - mdpi.com",Cited by 38
774,Machine learning approaches to predict drug efficacy and toxicity in oncology,"BA Badwan, G Liaropoulos, E Kyrodimos, D Skaltsas… - Cell reports …, 2023 - cell.com",Cited by 29
775,Machine learning with data assimilation and uncertainty quantification for dynamical systems: a review,"S Cheng, C Quilodrán-Casas, S Ouala… - IEEE/CAA Journal of …, 2023 - ieeexplore.ieee.org",Cited by 107
776,"Machine learning in solid heterogeneous catalysis: Recent developments, challenges and perspectives","Y Guan, D Chaffart, G Liu, Z Tan, D Zhang… - Chemical Engineering …, 2022 - Elsevier",Cited by 82
777,[HTML][HTML] Remote estimates of suspended particulate matter in global lakes using machine learning models,"Z Wen, Q Wang, Y Ma, PA Jacinthe, G Liu, S Li… - International Soil and …, 2024 - Elsevier",Cited by 51
778,A hybrid machine learning model for intrusion detection in VANET,"H Bangui, M Ge, B Buhnova - Computing, 2022 - Springer",Cited by 87
779,[HTML][HTML] An in-depth review of machine learning based Android malware detection,"A Muzaffar, HR Hassen, MA Lones, H Zantout - Computers & Security, 2022 - Elsevier",Cited by 55
780,Artificial Intelligence and Machine Learning in CRM: Leveraging Data for Predictive Analytics,"RT Potla, VK Pottla - Journal of Artificial Intelligence …, 2024 - thesciencebrigade.com",Cited by 8
781,Using econometric and machine learning models to forecast crude oil prices: Insights from economic history,"Z Xu, M Mohsin, K Ullah, X Ma - Resources Policy, 2023 - Elsevier",Cited by 56
782,Data privacy and trustworthy machine learning,"M Strobel, R Shokri - IEEE Security & Privacy, 2022 - ieeexplore.ieee.org",Cited by 33
783,Predicting lattice thermal conductivity via machine learning: a mini review,"Y Luo, M Li, H Yuan, H Liu, Y Fang - NPJ Computational Materials, 2023 - nature.com",Cited by 39
784,Optimization and machine learning applied to last-mile logistics: A review,"N Giuffrida, J Fajardo-Calderin, AD Masegosa… - Sustainability, 2022 - mdpi.com",Cited by 56
785,Using supervised machine learning for large‐scale classification in management research: The case for identifying artificial intelligence patents,"M Miric, N Jia, KG Huang - Strategic Management Journal, 2023 - Wiley Online Library",Cited by 69
786,An intelligent iot enabled health care surveillance using machine learning,"S Ahamed, P Bhatt, SJ Sultanuddin… - … on Advances in …, 2022 - ieeexplore.ieee.org",Cited by 72
787,"A review of machine learning methods for drought hazard monitoring and forecasting: Current research trends, challenges, and future research directions","FA Prodhan, J Zhang, SS Hasan, TPP Sharma… - … modelling & software, 2022 - Elsevier",Cited by 102
788,"Review of machine learning for hydrodynamics, transport, and reactions in multiphase flows and reactors","LT Zhu, XZ Chen, B Ouyang, WC Yan… - Industrial & …, 2022 - ACS Publications",Cited by 110
789,Machine learning for auto-segmentation in radiotherapy planning,"K Harrison, H Pullen, C Welsh, O Oktay, J Alvarez-Valle… - Clinical Oncology, 2022 - Elsevier",Cited by 77
790,Machine learning technique to prognosis diabetes disease: Random forest classifier approach,"P Palimkar, RN Shaw, A Ghosh - Advanced computing and intelligent …, 2022 - Springer",Cited by 159
791,Intelligent control of nanoparticle synthesis on microfluidic chips with machine learning,"X Chen, H Lv - NPG Asia Materials, 2022 - nature.com",Cited by 51
792,Prediction of Alzheimer's disease using hybrid machine learning technique,"MS Kumar, H Azath, AK Velmurugan… - AIP Conference …, 2023 - pubs.aip.org",Cited by 42
793,[PDF][PDF] NMLA: The Smart Detection of Motor Neuron Disease and Analyze the Health Impacts with Neuro Machine Learning Model,"G Sekar, C Sivakumar, J Logeshwaran - NeuroQuantology, 2022 - researchgate.net",Cited by 130
794,SNIB: improving spike-based machine learning using nonlinear information bottleneck,"S Yang, B Chen - IEEE Transactions on Systems, Man, and …, 2023 - ieeexplore.ieee.org",Cited by 54
795,Machine learning: a new prospect in multi-omics data analysis of cancer,"B Arjmand, SK Hamidpour, A Tayanloo-Beik… - Frontiers in …, 2022 - frontiersin.org",Cited by 67
796,"[HTML][HTML] Computer vision and machine learning for medical image analysis: recent advances, challenges, and way forward","E Elyan, P Vuttipittayamongkol, P Johnston… - Artificial Intelligence …, 2022 - oaepublish.com",Cited by 98
797,Machine-learning-assisted design of highly tough thermosetting polymers,"Y Hu, W Zhao, L Wang, J Lin, L Du - ACS Applied Materials & …, 2022 - ACS Publications",Cited by 29
798,Machine learning-based lung and colon cancer detection using deep feature extraction and ensemble learning,"MA Talukder, MM Islam, MA Uddin, A Akhter… - Expert Systems with …, 2022 - Elsevier",Cited by 158
799,A review on artificial intelligence and machine learning to improve cancer management and drug discovery,"R Kumar, P Saha - International Journal for Research in Applied …, 2022 - ijrasb.com",Cited by 93
800,A systematic review of the research development on the application of machine learning for concrete,"K Khan, W Ahmad, MN Amin, A Ahmad - Materials, 2022 - mdpi.com",Cited by 21
801,Hematology and machine learning,"AE Obstfeld - The Journal of Applied Laboratory Medicine, 2023 - academic.oup.com",Cited by 15
802,On the impact of machine learning randomness on group fairness,"P Ganesh, H Chang, M Strobel, R Shokri - Proceedings of the 2023 ACM …, 2023 - dl.acm.org",Cited by 22
803,Food quality inspection and grading using efficient image segmentation and machine learning‐based system,"V Hemamalini, S Rajarajeswari… - Journal of Food …, 2022 - Wiley Online Library",Cited by 96
804,Novel class probability features for optimizing network attack detection with machine learning,"A Raza, K Munir, MS Almutairi, R Sehar - IEEE Access, 2023 - ieeexplore.ieee.org",Cited by 24
805,Enabling fairness in healthcare through machine learning,"T Grote, G Keeling - Ethics and Information Technology, 2022 - Springer",Cited by 24
806,[HTML][HTML] Do not rug on me: Leveraging machine learning techniques for automated scam detection,"B Mazorra, V Adan, V Daza - Mathematics, 2022 - mdpi.com",Cited by 45
807,A hybrid machine learning model for timely prediction of breast cancer,"S Dalal, EM Onyema, P Kumar… - … Journal of Modeling …, 2023 - World Scientific",Cited by 59
808,[HTML][HTML] Developing a novel tool for assessing the groundwater incorporating water quality index and machine learning approach,"AM Sajib, MTM Diganta, A Rahman… - Groundwater for …, 2023 - Elsevier",Cited by 32
809,Prediction of Sepsis Mortality in ICU patients using machine learning methods,"J Gao, Y Lu, N Ashrafi, I Domingo, K Alaei… - BMC Medical Informatics …, 2024 - Springer",Cited by 8
810,Co-evolution of machine learning and digital technologies to improve monitoring of Parkinson's disease motor symptoms,"AS Chandrabhatla, IJ Pomeraniec… - NPJ digital …, 2022 - nature.com",Cited by 65
811,A novel decision support system for managing predictive maintenance strategies based on machine learning approaches,"S Arena, E Florian, I Zennaro, PF Orrù, F Sgarbossa - Safety science, 2022 - Elsevier",Cited by 116
812,Legal and ethical challenges for HR in machine learning,"RH Hamilton, HK Davison - Employee Responsibilities and Rights Journal, 2022 - Springer",Cited by 46
813,A systematic review of machine learning techniques for stance detection and its applications,"N Alturayeif, H Luqman, M Ahmed - Neural Computing and Applications, 2023 - Springer",Cited by 49
814,An ensemble method of the machine learning to prognosticate the gastric cancer,"H Baradaran Rezaei, A Amjadian, MV Sebt… - Annals of Operations …, 2023 - Springer",Cited by 41
815,The personal health applications of machine learning techniques in the internet of behaviors,"Z Amiri, A Heidari, M Darbandi, Y Yazdani… - Sustainability, 2023 - mdpi.com",Cited by 44
816,[PDF][PDF] Evaluation of machine learning methods application in temperature prediction,"B Azari, K Hassan, J Pierce, S Ebrahimi - Environ Eng, 2022 - crpase.procedia.org",Cited by 35
817,[HTML][HTML] Machine learning techniques for IoT security: Current research and future vision with generative AI and large language models,"F Alwahedi, A Aldhaheri, MA Ferrag, A Battah… - Internet of Things and …, 2024 - Elsevier",Cited by 83
818,Forecasting credit ratings of decarbonized firms: Comparative assessment of machine learning models,"B Yu, C Li, N Mirza, M Umar - Technological Forecasting and Social …, 2022 - Elsevier",Cited by 109
819,PhenoScore quantifies phenotypic variation for rare genetic diseases by combining facial analysis with other clinical features using a machine-learning framework,"AJM Dingemans, M Hinne, KMG Truijen, L Goltstein… - Nature Genetics, 2023 - nature.com",Cited by 23
820,[HTML][HTML] Prediction of cancer disease using machine learning approach,"FJ Shaikh, DS Rao - Materials Today: Proceedings, 2022 - Elsevier",Cited by 69
821,Overview on intrusion detection systems design exploiting machine learning for networking cybersecurity,"P Dini, A Elhanashi, A Begni, S Saponara, Q Zheng… - Applied Sciences, 2023 - mdpi.com",Cited by 41
822,The diagnosis of ASD using multiple machine learning techniques,"CJ Kumar, PR Das - International Journal of Developmental …, 2022 - Taylor & Francis",Cited by 36
823,[HTML][HTML] Prediction of oil and gas pipeline failures through machine learning approaches: A systematic review,"AM Al-Sabaeei, H Alhussian, SJ Abdulkadir… - Energy Reports, 2023 - Elsevier",Cited by 21
824,Where nanosensors meet machine learning: Prospects and challenges in detecting Disease X,"YX Leong, EX Tan, SX Leong, CS Lin Koh… - ACS …, 2022 - ACS Publications",Cited by 30
825,Studying up machine learning data: Why talk about bias when we mean power?,"M Miceli, J Posada, T Yang - Proceedings of the ACM on Human …, 2022 - dl.acm.org",Cited by 138
826,Tight auditing of differentially private machine learning,"M Nasr, J Hayes, T Steinke, B Balle, F Tramèr… - 32nd USENIX Security …, 2023 - usenix.org",Cited by 55
827,[HTML][HTML] Data mining and machine learning in cancer survival research: an overview and future recommendations,"I Kaur, MN Doja, T Ahmad - Journal of Biomedical Informatics, 2022 - Elsevier",Cited by 38
828,Modeling energy-efficient building loads using machine-learning algorithms for the design phase,"FE Sapnken, MM Hamed, B Soldo, JG Tamba - Energy and Buildings, 2023 - Elsevier",Cited by 30
829,An overview of machine learning techniques in constraint solving,"A Popescu, S Polat-Erdeniz, A Felfernig, M Uta… - Journal of Intelligent …, 2022 - Springer",Cited by 38
830,Machine Learning of Reactive Potentials,"Y Yang, S Zhang, KD Ranasinghe… - Annual Review of …, 2024 - annualreviews.org",Cited by 4
831,A critical review on the state-of-the-art and future prospects of Machine Learning for Earth Observation Operations,"P Miralles, K Thangavel, AF Scannapieco… - Advances in Space …, 2023 - Elsevier",Cited by 16
832,Prevalence and early prediction of diabetes using machine learning in North Kashmir: a case study of district bandipora,"SS Bhat, V Selvam, GA Ansari… - Computational …, 2022 - Wiley Online Library",Cited by 70
833,[HTML][HTML] SmartHealth: An intelligent framework to secure IoMT service applications using machine learning,"S Rani, S Kumar, A Kataria, H Min - ICT Express, 2024 - Elsevier",Cited by 65
834,Personalized adaptive learning technologies based on machine learning techniques to identify learning styles: A systematic literature review,"SG Essa, T Celik, NE Human-Hendricks - IEEE Access, 2023 - ieeexplore.ieee.org",Cited by 43
835,Human–machine interaction via dual modes of voice and gesture enabled by triboelectric nanogenerator and machine learning,"H Luo, J Du, P Yang, Y Shi, Z Liu, D Yang… - … Applied Materials & …, 2023 - ACS Publications",Cited by 34
836,Machine learning algorithms reveal potential miRNAs biomarkers in gastric cancer,"H Azari, E Nazari, R Mohit, A Asadnia, M Maftooh… - Scientific Reports, 2023 - nature.com",Cited by 19
837,"Predicting students' performance employing educational data mining techniques, machine learning, and learning analytics","A Alam, A Mohanty - International Conference on Communication …, 2022 - Springer",Cited by 116
838,On machine learning-based techniques for future sustainable and resilient energy systems,"J Wang, P Pinson, S Chatzivasileiadis… - IEEE Transactions …, 2022 - ieeexplore.ieee.org",Cited by 44
839,Application of machine learning for cardiovascular disease risk prediction,"S Dalal, P Goel, EM Onyema, A Alharbi… - Computational …, 2023 - Wiley Online Library",Cited by 49
840,Assessment and prediction of index based agricultural drought vulnerability using machine learning algorithms,"AA Kafy, A Bakshi, M Saha, A Al Faisal… - Science of The Total …, 2023 - Elsevier",Cited by 52
841,Insurance risk prediction using machine learning,"R Sahai, A Al-Ataby, S Assi, M Jayabalan… - … conference on data …, 2022 - Springer",Cited by 37
842,[HTML][HTML] Utilizing machine learning on freight transportation and logistics applications: A review,"K Tsolaki, T Vafeiadis, A Nizamis, D Ioannidis… - ICT Express, 2023 - Elsevier",Cited by 69
843,State of art on state estimation: Kalman filter driven by machine learning,"Y Bai, B Yan, C Zhou, T Su, X Jin - Annual Reviews in Control, 2023 - Elsevier",Cited by 44
844,Interpretable and explainable machine learning: a methods‐centric overview with concrete examples,"R Marcinkevičs, JE Vogt - Wiley Interdisciplinary Reviews: Data …, 2023 - Wiley Online Library",Cited by 55
845,[HTML][HTML] Regionalizing the sea-level budget with machine learning techniques,"CML Camargo, REM Riva, THJ Hermans… - Ocean …, 2023 - os.copernicus.org",Cited by 19
846,"Using machine learning models for predicting the water quality index in the La Buong River, Vietnam","DN Khoi, NT Quan, DQ Linh, PTT Nhi, NTD Thuy - Water, 2022 - mdpi.com",Cited by 91
847,Exploring machine learning in chemistry through the classification of spectra: An undergraduate project,"AG St James, L Hand, T Mills, L Song… - Journal of Chemical …, 2023 - ACS Publications",Cited by 15
848,[BOOK][B] Machine Learning Q and AI: 30 Essential Questions and Answers on Machine Learning and AI,S Raschka - 2024 - books.google.com,Cited by 30
849,[HTML][HTML] Analysis of machine learning strategies for prediction of passing undergraduate admission test,"MAA Walid, SMM Ahmed, M Zeyad, SMS Galib… - International Journal of …, 2022 - Elsevier",Cited by 42
850,Dementia detection from speech using machine learning and deep learning architectures,"MR Kumar, S Vekkot, S Lalitha, D Gupta, VJ Govindraj… - Sensors, 2022 - mdpi.com",Cited by 40
851,Digital transformation in tourism: bibliometric literature review based on machine learning approach,"P Madzík, L Falát, L Copuš, M Valeri - European Journal of Innovation …, 2023 - emerald.com",Cited by 47
852,"Transparency, auditability, and explainability of machine learning models in credit scoring","M Bücker, G Szepannek, A Gosiewska… - Journal of the …, 2022 - Taylor & Francis",Cited by 113
853,An insight into diagnosis of depression using machine learning techniques: a systematic review,"S Bhadra, CJ Kumar - Current medical research and opinion, 2022 - Taylor & Francis",Cited by 42
854,Forest fire detection system using wireless sensor networks and machine learning,"U Dampage, L Bandaranayake, R Wanasinghe… - Scientific reports, 2022 - nature.com",Cited by 152
855,A human resources analytics and machine-learning examination of turnover: implications for theory and practice,"D Avrahami, D Pessach, G Singer… - International Journal of …, 2022 - emerald.com",Cited by 47
856,Machine-learning rationalization and prediction of solid-state synthesis conditions,"H Huo, CJ Bartel, T He, A Trewartha, A Dunn… - Chemistry of …, 2022 - ACS Publications",Cited by 44
857,[HTML][HTML] Physical interpretation of machine learning-based recognition of defects for the risk management of existing bridge heritage,"A Cardellicchio, S Ruggieri, A Nettis, V Renò… - Engineering Failure …, 2023 - Elsevier",Cited by 60
858,A data-driven approach for intrusion and anomaly detection using automated machine learning for the Internet of Things,"H Xu, Z Sun, Y Cao, H Bilal - Soft Computing, 2023 - Springer",Cited by 126
859,Electric vehicle charging system in the smart grid using different machine learning methods,"T Mazhar, RN Asif, MA Malik, MA Nadeem, I Haq… - Sustainability, 2023 - mdpi.com",Cited by 56
860,Implementation patterns of high performance machine learning algorithms using Apache Mahout,"B Prashanth, DB Krishna, A Balasundaram… - AIP Conference …, 2022 - pubs.aip.org",Cited by 54
861,[CITATION][C] Concept paper: Innovative approaches to food quality control: AI and machine learning for predictive analysis,"T Abass, EO Itua, T Bature… - World Journal …, 2024 - World Journal of Advanced …",Cited by 22
862,Towards model generalization for intrusion detection: Unsupervised machine learning techniques,"M Verkerken, L D'hooge, T Wauters, B Volckaert… - Journal of Network and …, 2022 - Springer",Cited by 79
863,[HTML][HTML] An inception V3 approach for malware classification using machine learning and transfer learning,"M Ahmed, N Afreen, M Ahmed, M Sameer… - International Journal of …, 2023 - Elsevier",Cited by 58
864,A comparative performance of machine learning algorithm to predict electric vehicles energy consumption: A path towards sustainability,"I Ullah, K Liu, T Yamamoto… - Energy & …, 2022 - journals.sagepub.com",Cited by 102
865,Comparative analysis of machine learning methods for active flow control,"F Pino, L Schena, J Rabault… - Journal of Fluid …, 2023 - cambridge.org",Cited by 48
866,Machine learning based automatic vehicle alert system,"E Sudarshan, DA Kumari, YCA Reddy… - AIP Conference …, 2022 - pubs.aip.org",Cited by 40
867,"Vaccine supply chain management: An intelligent system utilizing blockchain, IoT and machine learning","H Hu, J Xu, M Liu, MK Lim - Journal of business research, 2023 - Elsevier",Cited by 109
868,Comparison of land use land cover classifiers using different satellite imagery and machine learning techniques,"S Basheer, X Wang, AA Farooque, RA Nawaz, K Liu… - Remote Sensing, 2022 - mdpi.com",Cited by 109
869,A machine learning approach for energy-efficient intelligent transportation scheduling problem in a real-world dynamic circumstances,"J Mou, K Gao, P Duan, J Li, A Garg… - IEEE transactions on …, 2022 - ieeexplore.ieee.org",Cited by 112
870,"Fruit quality evaluation using machine learning techniques: review, motivation and future perspectives","B Dhiman, Y Kumar, M Kumar - Multimedia Tools and Applications, 2022 - Springer",Cited by 41
871,LGBM: a machine learning approach for Ethereum fraud detection,"RM Aziz, MF Baluch, S Patel, AH Ganie - International Journal of …, 2022 - Springer",Cited by 99
872,"Machine learning for lung cancer diagnosis, treatment, and prognosis","Y Li, X Wu, P Yang, G Jiang… - Genomics, Proteomics and …, 2022 - academic.oup.com",Cited by 72
873,"Statistical, machine learning and deep learning forecasting methods: Comparisons and ways forward","S Makridakis, E Spiliotis… - Journal of the …, 2023 - Taylor & Francis",Cited by 58
874,Implementation of machine learning classification techniques for intrusion detection system,"P William, VNR Inukollu, V Ramasamy… - 2023 4th …, 2023 - ieeexplore.ieee.org",Cited by 28
875,Option return predictability with machine learning and big data,"TG Bali, H Beckmeyer, M Moerke… - The Review of Financial …, 2023 - academic.oup.com",Cited by 101
876,"Applications of machine learning in friction stir welding: Prediction of joint properties, real-time control and tool failure diagnosis","AH Elsheikh - Engineering Applications of Artificial Intelligence, 2023 - Elsevier",Cited by 116
877,[HTML][HTML] Customer churning analysis using machine learning algorithms,"B Prabadevi, R Shalini, BR Kavitha - International Journal of Intelligent …, 2023 - Elsevier",Cited by 35
878,Towards understanding fairness and its composition in ensemble machine learning,"U Gohar, S Biswas, H Rajan - 2023 IEEE/ACM 45th …, 2023 - ieeexplore.ieee.org",Cited by 24
879,Generalizability of machine learning models: quantitative evaluation of three methodological pitfalls,"F Maleki, K Ovens, R Gupta, C Reinhold… - Radiology: Artificial …, 2022 - pubs.rsna.org",Cited by 45
880,Predicting financial crises with machine learning methods,"L Liu, C Chen, B Wang - Journal of Forecasting, 2022 - Wiley Online Library",Cited by 31
881,Implementation of The Future of Drug Discovery: QuantumBased Machine Learning Simulation (QMLS),"Y Zhou, YK Wong, YS Liang, H Qiu, YX Wu… - arXiv preprint arXiv …, 2023 - arxiv.org",Cited by 13
882,[HTML][HTML] How can machine learning be used in stress management: A systematic literature review of applications in workplaces and education,"S Mittal, S Mahendra, V Sanap, P Churi - International Journal of …, 2022 - Elsevier",Cited by 50
883,[HTML][HTML] Comparative study of machine learning methods and GR2M model for monthly runoff prediction,"P Ditthakit, S Pinthong, N Salaeh, J Weekaew… - Ain Shams Engineering …, 2023 - Elsevier",Cited by 25
884,The worst of both worlds: A comparative analysis of errors in learning from data in psychology and machine learning,"J Hullman, S Kapoor, P Nanayakkara… - Proceedings of the …, 2022 - dl.acm.org",Cited by 43
885,Predictive modelling and analytics of students' grades using machine learning algorithms,"YT Badal, RK Sungkur - Education and information technologies, 2023 - Springer",Cited by 35
886,Educational data mining: prediction of students' academic performance using machine learning algorithms,"M Yağcı - Smart Learning Environments, 2022 - Springer",Cited by 353
887,Predicting chronic kidney disease using machine learning algorithms,"A Farjana, FT Liza, PP Pandit, MC Das… - 2023 IEEE 13th …, 2023 - ieeexplore.ieee.org",Cited by 43
888,Performance comparison of deep learning and machine learning methods in determining wetland water areas using EuroSAT dataset,"MA Günen - Environmental Science and Pollution Research, 2022 - Springer",Cited by 45
889,SuperPred 3.0: drug classification and target prediction—a machine learning approach,"K Gallo, A Goede, R Preissner… - Nucleic Acids …, 2022 - academic.oup.com",Cited by 88
890,Machine-learning exploration of polymer compatibility,"Z Liang, Z Li, S Zhou, Y Sun, J Yuan… - Cell Reports Physical …, 2022 - cell.com",Cited by 22
891,ProcessGAN: Supporting the creation of business process improvement ideas through generative machine learning,"C van Dun, L Moder, W Kratsch, M Röglinger - Decision Support Systems, 2023 - Elsevier",Cited by 48
892,Application of innovative machine learning techniques for long-term rainfall prediction,"S Markuna, P Kumar, R Ali, DK Vishwkarma… - Pure and Applied …, 2023 - Springer",Cited by 38
893,Based on intelligent advertising recommendation and abnormal advertising monitoring system in the field of machine learning,"B Liu - International Journal of Computer Science and …, 2023 - wepub.org",Cited by 47
894,Blindfl: Vertical federated machine learning without peeking into your data,"F Fu, H Xue, Y Cheng, Y Tao, B Cui - Proceedings of the 2022 …, 2022 - dl.acm.org",Cited by 51
895,Artificial intelligence and machine learning applications in biopharmaceutical manufacturing,"AS Rathore, S Nikita, G Thakur, S Mishra - Trends in Biotechnology, 2023 - cell.com",Cited by 50
896,Machine Learning: Supervised Algorithms to Determine the Defect in High‐Precision Foundry Operation,"BramahHazela, J Hymavathi, TR Kumar… - Journal of …, 2022 - Wiley Online Library",Cited by 37
897,Application of machine learning-based k-means clustering for financial fraud detection,"Z Huang, H Zheng, C Li, C Che - Academic Journal of Science and …, 2024 - drpress.org",Cited by 64
898,"A survey on intersectional fairness in machine learning: Notions, mitigation, and challenges","U Gohar, L Cheng - arXiv preprint arXiv:2305.06969, 2023 - arxiv.org",Cited by 28
899,[HTML][HTML] Feedback on a shared big dataset for intelligent TBM Part I: Feature extraction and machine learning methods,"JB Li, ZY Chen, X Li, LJ Jing, YP Zhang, HH Xiao… - Underground …, 2023 - Elsevier",Cited by 33
900,High-dimensional role of AI and machine learning in cancer research,"E Capobianco - British journal of cancer, 2022 - nature.com",Cited by 39
901,Machine‐learning modeling for ultra‐stable high‐efficiency perovskite solar cells,"Y Hu, X Hu, L Zhang, T Zheng, J You… - Advanced Energy …, 2022 - Wiley Online Library",Cited by 39
902,Machine learning methods applied to triage in emergency services: A systematic review,"R Sánchez-Salmerón, JL Gómez-Urquiza… - International Emergency …, 2022 - Elsevier",Cited by 68
903,"Predictive chemistry: machine learning for reaction deployment, reaction development, and reaction discovery","Z Tu, T Stuyver, CW Coley - Chemical science, 2023 - pubs.rsc.org",Cited by 63
904,[HTML][HTML] How does the model make predictions? A systematic literature review on the explainability power of machine learning in healthcare,"J Allgaier, L Mulansky, RL Draelos, R Pryss - Artificial Intelligence in …, 2023 - Elsevier",Cited by 45
905,[HTML][HTML] Machine learning-based diagnosis of breast cancer utilizing feature optimization technique,"KMM Uddin, N Biswas, ST Rikta, SK Dey - Computer Methods and …, 2023 - Elsevier",Cited by 45
906,A survey on multimodal bidirectional machine learning translation of image and natural language processing,"W Nam, B Jang - Expert Systems with Applications, 2024 - Elsevier",Cited by 13
907,Cardiovascular complications in a diabetes prediction model using machine learning: a systematic review,"OT Kee, H Harun, N Mustafa, NA Abdul Murad… - Cardiovascular …, 2023 - Springer",Cited by 38
908,Machine learning-assisted low-dimensional electrocatalysts design for hydrogen evolution reaction,"J Li, N Wu, J Zhang, HH Wu, K Pan, Y Wang, G Liu… - Nano-Micro Letters, 2023 - Springer",Cited by 36
909,Supervised machine learning models for liver disease risk prediction,"E Dritsas, M Trigka - Computers, 2023 - mdpi.com",Cited by 52
910,Spam detection using bidirectional transformers and machine learning classifier algorithms,"Y Guo, Z Mustafaoglu… - journal of Computational …, 2023 - ojs.bonviewpress.com",Cited by 155
911,[HTML][HTML] Comparison of machine learning methods for photovoltaic power forecasting based on numerical weather prediction,"D Markovics, MJ Mayer - Renewable and Sustainable Energy Reviews, 2022 - Elsevier",Cited by 216
912,Emerging trends in machine learning to predict crop yield and study its influential factors: A survey,"N Bali, A Singla - Archives of computational methods in engineering, 2022 - Springer",Cited by 107
913,Evaluation of geopolymer concrete at high temperatures: An experimental study using machine learning,"M Rahmati, V Toufigh - Journal of Cleaner Production, 2022 - Elsevier",Cited by 54
914,[HTML][HTML] Comparative analysis of breast cancer detection using machine learning and biosensors,"Y Amethiya, P Pipariya, S Patel, M Shah - Intelligent Medicine, 2022 - Elsevier",Cited by 87
915,Evaluating compressive strength of concrete made with recycled concrete aggregates using machine learning approach,"VQ Tran, VQ Dang, LS Ho - Construction and Building Materials, 2022 - Elsevier",Cited by 195
916,A concise review on recent developments of machine learning for the prediction of vibrational spectra,"R Han, R Ketkaew, S Luber - The Journal of Physical Chemistry A, 2022 - ACS Publications",Cited by 37
917,Impact of feature scaling on machine learning models for the diagnosis of diabetes,"DU Ozsahin, MT Mustapha, AS Mubarak… - … in Everything (AIE), 2022 - ieeexplore.ieee.org",Cited by 58
918,"New era of artificial intelligence and machine learning-based detection, diagnosis, and therapeutics in Parkinson's disease","R Gupta, S Kumari, A Senapati, RK Ambasta… - Ageing research …, 2023 - Elsevier",Cited by 52
919,"Deep learning and machine learning in psychiatry: a survey of current progress in depression detection, diagnosis and treatment","M Squires, X Tao, S Elangovan, R Gururajan, X Zhou… - Brain Informatics, 2023 - Springer",Cited by 38
920,HealthCloud: A system for monitoring health status of heart patients using machine learning and cloud computing,"F Desai, D Chowdhury, R Kaur, M Peeters, RC Arya… - Internet of Things, 2022 - Elsevier",Cited by 77
921,Enhanced membership inference attacks against machine learning models,"J Ye, A Maddi, SK Murakonda… - Proceedings of the …, 2022 - dl.acm.org",Cited by 217
922,Estimating the density of deep eutectic solvents applying supervised machine learning techniques,"M Abdollahzadeh, M Khosravi… - Scientific Reports, 2022 - nature.com",Cited by 55
923,Web application based Diabetes prediction using Machine Learning,"GR Kumar, RV Reddy, M Jayarathna… - … on Advances in …, 2023 - ieeexplore.ieee.org",Cited by 33
924,Fraudulent financial transactions detection using machine learning,"MMM Megdad, SS Abu-Naser, BS Abu-Nasser - 2022 - philpapers.org",Cited by 50
925,Adversarial machine learning for network intrusion detection: A comparative study,"H Jmila, MI Khedher - Computer Networks, 2022 - Elsevier",Cited by 56
926,[HTML][HTML] Enhancing construction safety: Machine learning-based classification of injury types,"M Alkaissy, M Arashpour, EM Golafshani, MR Hosseini… - Safety science, 2023 - Elsevier",Cited by 38
927,[HTML][HTML] Interpretable Ensemble-Machine-Learning models for predicting creep behavior of concrete,"M Liang, Z Chang, Z Wan, Y Gan, E Schlangen… - Cement and Concrete …, 2022 - Elsevier",Cited by 176
928,Testing and analysis of predictive capabilities of machine learning algorithms,"G Khekare, LK Bramhane, C Dhule, R Agrawal… - … and machine learning …, 2022 - Springer",Cited by 19
929,A systematic review of localization in WSN: Machine learning and optimization‐based approaches,"P Yadav, SC Sharma - International journal of communication …, 2023 - Wiley Online Library",Cited by 28
930,Amelioration of Alzheimer's disease pathology by mitophagy inducers identified via machine learning and a cross-species workflow,"C Xie, XX Zhuang, Z Niu, R Ai, S Lautrup… - Nature Biomedical …, 2022 - nature.com",Cited by 168
931,Machine Learning Approaches for Analysis in Smart Healthcare Informatics,"N Jiwani, K Gupta, P Whig - Machine Learning and Artificial …, 2023 - api.taylorfrancis.com",Cited by 31
