,title,authors,year,venue,publisher,citation_count,avg_citations_per_year
762,"Flash drought: Review of concept, prediction and the potential for machine learning, deep learning methods","S Tyagi, X Zhang, D Saraswat, S Sahany… ",2022 ,Earth's …,Wiley Online Library, 33,11.0
763,Machine learning price index forecasts of flat steel products,"B Jin, X Xu ",2024 ,Mineral Economics,Springer, 5,5.0
764,Machine learning techniques applied to construction: A hybrid bibliometric analysis of advances and future directions,"J Garcia, G Villavicencio, F Altimiras, B Crawford… ",2022 ,Automation in …,Elsevier, 28,9.0
765,Earthquake damage and rehabilitation intervention prediction using machine learning,"KC Sajan, A Bhusal, D Gautam, R Rupakhety ",2023 ,Engineering Failure …,Elsevier, 34,17.0
766,Machine learning-based orchestration of containers: A taxonomy and future directions,"Z Zhong, M Xu, MA Rodriguez, C Xu… ",2022 ,ACM Computing Surveys …,dl.acm.org, 120,40.0
767,[HTML][HTML] Supply chain risk management with machine learning technology: A literature review and future research directions,"M Yang, MK Lim, Y Qu, D Ni, Z Xiao ",2023 ,Computers & Industrial Engineering,Elsevier, 61,30.0
768,Machine-learning potentials for crystal defects,"R Freitas, Y Cao ",2022 ,MRS Communications,Springer, 29,10.0
769,Plant disease detection using machine learning approaches,"I Ahmed, PK Yadav ",2023 ,Expert Systems,Wiley Online Library, 58,29.0
770,"Data-driven machine learning and neural network algorithms in the retailing environment: Consumer engagement, experience, and purchase behaviors","T Kliestik, K Zvarikova, G Lăzăroiu ",2022 ,"Economics, Management and …",ceeol.com, 125,42.0
771,Machine learning-enabled globally guaranteed evolutionary computation,"B Li, Z Wei, J Wu, S Yu, T Zhang, C Zhu… ",2023 ,Nature Machine …,nature.com, 17,8.0
772,Confusion matrix: Machine learning,J Liang ,2022 ,POGIL Activity Clearinghouse,pac.pogil.org, 71,24.0
773,Review on alzheimer disease detection methods: Automatic pipelines and machine learning techniques,"A Shukla, R Tiwari, S Tiwari ",2023 ,Sci,mdpi.com, 38,19.0
774,Machine learning approaches to predict drug efficacy and toxicity in oncology,"BA Badwan, G Liaropoulos, E Kyrodimos, D Skaltsas… ",2023 ,Cell reports …,cell.com, 29,14.0
775,Machine learning with data assimilation and uncertainty quantification for dynamical systems: a review,"S Cheng, C Quilodrán-Casas, S Ouala… ",2023 ,IEEE/CAA Journal of …,ieeexplore.ieee.org, 107,54.0
776,"Machine learning in solid heterogeneous catalysis: Recent developments, challenges and perspectives","Y Guan, D Chaffart, G Liu, Z Tan, D Zhang… ",2022 ,Chemical Engineering …,Elsevier, 82,27.0
777,[HTML][HTML] Remote estimates of suspended particulate matter in global lakes using machine learning models,"Z Wen, Q Wang, Y Ma, PA Jacinthe, G Liu, S Li… ",2024 ,International Soil and …,Elsevier, 51,51.0
778,A hybrid machine learning model for intrusion detection in VANET,"H Bangui, M Ge, B Buhnova ",2022 ,Computing,Springer, 87,29.0
779,[HTML][HTML] An in-depth review of machine learning based Android malware detection,"A Muzaffar, HR Hassen, MA Lones, H Zantout ",2022 ,Computers & Security,Elsevier, 55,18.0
780,Artificial Intelligence and Machine Learning in CRM: Leveraging Data for Predictive Analytics,"RT Potla, VK Pottla ",2024 ,Journal of Artificial Intelligence …,thesciencebrigade.com, 8,8.0
781,Using econometric and machine learning models to forecast crude oil prices: Insights from economic history,"Z Xu, M Mohsin, K Ullah, X Ma ",2023 ,Resources Policy,Elsevier, 56,28.0
782,Data privacy and trustworthy machine learning,"M Strobel, R Shokri ",2022 ,IEEE Security & Privacy,ieeexplore.ieee.org, 33,11.0
783,Predicting lattice thermal conductivity via machine learning: a mini review,"Y Luo, M Li, H Yuan, H Liu, Y Fang ",2023 ,NPJ Computational Materials,nature.com, 39,20.0
784,Optimization and machine learning applied to last-mile logistics: A review,"N Giuffrida, J Fajardo-Calderin, AD Masegosa… ",2022 ,Sustainability,mdpi.com, 56,19.0
785,Using supervised machine learning for large‐scale classification in management research: The case for identifying artificial intelligence patents,"M Miric, N Jia, KG Huang ",2023 ,Strategic Management Journal,Wiley Online Library, 69,34.0
786,An intelligent iot enabled health care surveillance using machine learning,"S Ahamed, P Bhatt, SJ Sultanuddin… ",2022 ,… on Advances in …,ieeexplore.ieee.org, 72,24.0
787,"A review of machine learning methods for drought hazard monitoring and forecasting: Current research trends, challenges, and future research directions","FA Prodhan, J Zhang, SS Hasan, TPP Sharma… ",2022 ,… modelling & software,Elsevier, 102,34.0
788,"Review of machine learning for hydrodynamics, transport, and reactions in multiphase flows and reactors","LT Zhu, XZ Chen, B Ouyang, WC Yan… ",2022 ,Industrial & …,ACS Publications, 110,37.0
789,Machine learning for auto-segmentation in radiotherapy planning,"K Harrison, H Pullen, C Welsh, O Oktay, J Alvarez-Valle… ",2022 ,Clinical Oncology,Elsevier, 77,26.0
790,Machine learning technique to prognosis diabetes disease: Random forest classifier approach,"P Palimkar, RN Shaw, A Ghosh ",2022 ,Advanced computing and intelligent …,Springer, 159,53.0
791,Intelligent control of nanoparticle synthesis on microfluidic chips with machine learning,"X Chen, H Lv ",2022 ,NPG Asia Materials,nature.com, 51,17.0
792,Prediction of Alzheimer's disease using hybrid machine learning technique,"MS Kumar, H Azath, AK Velmurugan… ",2023 ,AIP Conference …,pubs.aip.org, 42,21.0
793,[PDF][PDF] NMLA: The Smart Detection of Motor Neuron Disease and Analyze the Health Impacts with Neuro Machine Learning Model,"G Sekar, C Sivakumar, J Logeshwaran ",2022 ,NeuroQuantology,researchgate.net, 130,43.0
794,SNIB: improving spike-based machine learning using nonlinear information bottleneck,"S Yang, B Chen ",2023 ,"IEEE Transactions on Systems, Man, and …",ieeexplore.ieee.org, 54,27.0
795,Machine learning: a new prospect in multi-omics data analysis of cancer,"B Arjmand, SK Hamidpour, A Tayanloo-Beik… ",2022 ,Frontiers in …,frontiersin.org, 67,22.0
796,"[HTML][HTML] Computer vision and machine learning for medical image analysis: recent advances, challenges, and way forward","E Elyan, P Vuttipittayamongkol, P Johnston… ",2022 ,Artificial Intelligence …,oaepublish.com, 98,33.0
797,Machine-learning-assisted design of highly tough thermosetting polymers,"Y Hu, W Zhao, L Wang, J Lin, L Du ",2022 ,ACS Applied Materials & …,ACS Publications, 29,10.0
798,Machine learning-based lung and colon cancer detection using deep feature extraction and ensemble learning,"MA Talukder, MM Islam, MA Uddin, A Akhter… ",2022 ,Expert Systems with …,Elsevier, 158,53.0
799,A review on artificial intelligence and machine learning to improve cancer management and drug discovery,"R Kumar, P Saha ",2022 ,International Journal for Research in Applied …,ijrasb.com, 93,31.0
800,A systematic review of the research development on the application of machine learning for concrete,"K Khan, W Ahmad, MN Amin, A Ahmad ",2022 ,Materials,mdpi.com, 21,7.0
801,Hematology and machine learning,AE Obstfeld ,2023 ,The Journal of Applied Laboratory Medicine,academic.oup.com, 15,8.0
802,On the impact of machine learning randomness on group fairness,"P Ganesh, H Chang, M Strobel, R Shokri ",2023 ,Proceedings of the 2023 ACM …,dl.acm.org, 22,11.0
803,Food quality inspection and grading using efficient image segmentation and machine learning‐based system,"V Hemamalini, S Rajarajeswari… ",2022 ,Journal of Food …,Wiley Online Library, 96,32.0
804,Novel class probability features for optimizing network attack detection with machine learning,"A Raza, K Munir, MS Almutairi, R Sehar ",2023 ,IEEE Access,ieeexplore.ieee.org, 24,12.0
805,Enabling fairness in healthcare through machine learning,"T Grote, G Keeling ",2022 ,Ethics and Information Technology,Springer, 24,8.0
806,[HTML][HTML] Do not rug on me: Leveraging machine learning techniques for automated scam detection,"B Mazorra, V Adan, V Daza ",2022 ,Mathematics,mdpi.com, 45,15.0
807,A hybrid machine learning model for timely prediction of breast cancer,"S Dalal, EM Onyema, P Kumar… ",2023 ,… Journal of Modeling …,World Scientific, 59,30.0
808,[HTML][HTML] Developing a novel tool for assessing the groundwater incorporating water quality index and machine learning approach,"AM Sajib, MTM Diganta, A Rahman… ",2023 ,Groundwater for …,Elsevier, 32,16.0
809,Prediction of Sepsis Mortality in ICU patients using machine learning methods,"J Gao, Y Lu, N Ashrafi, I Domingo, K Alaei… ",2024 ,BMC Medical Informatics …,Springer, 8,8.0
810,Co-evolution of machine learning and digital technologies to improve monitoring of Parkinson's disease motor symptoms,"AS Chandrabhatla, IJ Pomeraniec… ",2022 ,NPJ digital …,nature.com, 65,22.0
811,A novel decision support system for managing predictive maintenance strategies based on machine learning approaches,"S Arena, E Florian, I Zennaro, PF Orrù, F Sgarbossa ",2022 ,Safety science,Elsevier, 116,39.0
812,Legal and ethical challenges for HR in machine learning,"RH Hamilton, HK Davison ",2022 ,Employee Responsibilities and Rights Journal,Springer, 46,15.0
813,A systematic review of machine learning techniques for stance detection and its applications,"N Alturayeif, H Luqman, M Ahmed ",2023 ,Neural Computing and Applications,Springer, 49,24.0
814,An ensemble method of the machine learning to prognosticate the gastric cancer,"H Baradaran Rezaei, A Amjadian, MV Sebt… ",2023 ,Annals of Operations …,Springer, 41,20.0
815,The personal health applications of machine learning techniques in the internet of behaviors,"Z Amiri, A Heidari, M Darbandi, Y Yazdani… ",2023 ,Sustainability,mdpi.com, 44,22.0
816,[PDF][PDF] Evaluation of machine learning methods application in temperature prediction,"B Azari, K Hassan, J Pierce, S Ebrahimi ",2022 ,Environ Eng,crpase.procedia.org, 35,12.0
817,[HTML][HTML] Machine learning techniques for IoT security: Current research and future vision with generative AI and large language models,"F Alwahedi, A Aldhaheri, MA Ferrag, A Battah… ",2024 ,Internet of Things and …,Elsevier, 83,83.0
818,Forecasting credit ratings of decarbonized firms: Comparative assessment of machine learning models,"B Yu, C Li, N Mirza, M Umar ",2022 ,Technological Forecasting and Social …,Elsevier, 109,36.0
819,PhenoScore quantifies phenotypic variation for rare genetic diseases by combining facial analysis with other clinical features using a machine-learning framework,"AJM Dingemans, M Hinne, KMG Truijen, L Goltstein… ",2023 ,Nature Genetics,nature.com, 23,12.0
820,[HTML][HTML] Prediction of cancer disease using machine learning approach,"FJ Shaikh, DS Rao ",2022 ,Materials Today: Proceedings,Elsevier, 69,23.0
821,Overview on intrusion detection systems design exploiting machine learning for networking cybersecurity,"P Dini, A Elhanashi, A Begni, S Saponara, Q Zheng… ",2023 ,Applied Sciences,mdpi.com, 41,20.0
822,The diagnosis of ASD using multiple machine learning techniques,"CJ Kumar, PR Das ",2022 ,International Journal of Developmental …,Taylor & Francis, 36,12.0
823,[HTML][HTML] Prediction of oil and gas pipeline failures through machine learning approaches: A systematic review,"AM Al-Sabaeei, H Alhussian, SJ Abdulkadir… ",2023 ,Energy Reports,Elsevier, 21,10.0
824,Where nanosensors meet machine learning: Prospects and challenges in detecting Disease X,"YX Leong, EX Tan, SX Leong, CS Lin Koh… ",2022 ,ACS …,ACS Publications, 30,10.0
825,Studying up machine learning data: Why talk about bias when we mean power?,"M Miceli, J Posada, T Yang ",2022 ,Proceedings of the ACM on Human …,dl.acm.org, 138,46.0
826,Tight auditing of differentially private machine learning,"M Nasr, J Hayes, T Steinke, B Balle, F Tramèr… ",2023 ,32nd USENIX Security …,usenix.org, 55,28.0
827,[HTML][HTML] Data mining and machine learning in cancer survival research: an overview and future recommendations,"I Kaur, MN Doja, T Ahmad ",2022 ,Journal of Biomedical Informatics,Elsevier, 38,13.0
828,Modeling energy-efficient building loads using machine-learning algorithms for the design phase,"FE Sapnken, MM Hamed, B Soldo, JG Tamba ",2023 ,Energy and Buildings,Elsevier, 30,15.0
829,An overview of machine learning techniques in constraint solving,"A Popescu, S Polat-Erdeniz, A Felfernig, M Uta… ",2022 ,Journal of Intelligent …,Springer, 38,13.0
830,Machine Learning of Reactive Potentials,"Y Yang, S Zhang, KD Ranasinghe… ",2024 ,Annual Review of …,annualreviews.org, 4,4.0
831,A critical review on the state-of-the-art and future prospects of Machine Learning for Earth Observation Operations,"P Miralles, K Thangavel, AF Scannapieco… ",2023 ,Advances in Space …,Elsevier, 16,8.0
832,Prevalence and early prediction of diabetes using machine learning in North Kashmir: a case study of district bandipora,"SS Bhat, V Selvam, GA Ansari… ",2022 ,Computational …,Wiley Online Library, 70,23.0
833,[HTML][HTML] SmartHealth: An intelligent framework to secure IoMT service applications using machine learning,"S Rani, S Kumar, A Kataria, H Min ",2024 ,ICT Express,Elsevier, 65,65.0
834,Personalized adaptive learning technologies based on machine learning techniques to identify learning styles: A systematic literature review,"SG Essa, T Celik, NE Human-Hendricks ",2023 ,IEEE Access,ieeexplore.ieee.org, 43,22.0
835,Human–machine interaction via dual modes of voice and gesture enabled by triboelectric nanogenerator and machine learning,"H Luo, J Du, P Yang, Y Shi, Z Liu, D Yang… ",2023 ,… Applied Materials & …,ACS Publications, 34,17.0
836,Machine learning algorithms reveal potential miRNAs biomarkers in gastric cancer,"H Azari, E Nazari, R Mohit, A Asadnia, M Maftooh… ",2023 ,Scientific Reports,nature.com, 19,10.0
837,"Predicting students' performance employing educational data mining techniques, machine learning, and learning analytics","A Alam, A Mohanty ",2022 ,International Conference on Communication …,Springer, 116,39.0
838,On machine learning-based techniques for future sustainable and resilient energy systems,"J Wang, P Pinson, S Chatzivasileiadis… ",2022 ,IEEE Transactions …,ieeexplore.ieee.org, 44,15.0
839,Application of machine learning for cardiovascular disease risk prediction,"S Dalal, P Goel, EM Onyema, A Alharbi… ",2023 ,Computational …,Wiley Online Library, 49,24.0
840,Assessment and prediction of index based agricultural drought vulnerability using machine learning algorithms,"AA Kafy, A Bakshi, M Saha, A Al Faisal… ",2023 ,Science of The Total …,Elsevier, 52,26.0
841,Insurance risk prediction using machine learning,"R Sahai, A Al-Ataby, S Assi, M Jayabalan… ",2022 ,… conference on data …,Springer, 37,12.0
842,[HTML][HTML] Utilizing machine learning on freight transportation and logistics applications: A review,"K Tsolaki, T Vafeiadis, A Nizamis, D Ioannidis… ",2023 ,ICT Express,Elsevier, 69,34.0
843,State of art on state estimation: Kalman filter driven by machine learning,"Y Bai, B Yan, C Zhou, T Su, X Jin ",2023 ,Annual Reviews in Control,Elsevier, 44,22.0
844,Interpretable and explainable machine learning: a methods‐centric overview with concrete examples,"R Marcinkevičs, JE Vogt ",2023 ,Wiley Interdisciplinary Reviews: Data …,Wiley Online Library, 55,28.0
845,[HTML][HTML] Regionalizing the sea-level budget with machine learning techniques,"CML Camargo, REM Riva, THJ Hermans… ",2023 ,Ocean …,os.copernicus.org, 19,10.0
846,"Using machine learning models for predicting the water quality index in the La Buong River, Vietnam","DN Khoi, NT Quan, DQ Linh, PTT Nhi, NTD Thuy ",2022 ,Water,mdpi.com, 91,30.0
847,Exploring machine learning in chemistry through the classification of spectra: An undergraduate project,"AG St James, L Hand, T Mills, L Song… ",2023 ,Journal of Chemical …,ACS Publications, 15,8.0
848,[BOOK][B] Machine Learning Q and AI: 30 Essential Questions and Answers on Machine Learning and AI,S Raschka ,2024 ,2024 ,books.google.com, 30,30.0
849,[HTML][HTML] Analysis of machine learning strategies for prediction of passing undergraduate admission test,"MAA Walid, SMM Ahmed, M Zeyad, SMS Galib… ",2022 ,International Journal of …,Elsevier, 42,14.0
850,Dementia detection from speech using machine learning and deep learning architectures,"MR Kumar, S Vekkot, S Lalitha, D Gupta, VJ Govindraj… ",2022 ,Sensors,mdpi.com, 40,13.0
851,Digital transformation in tourism: bibliometric literature review based on machine learning approach,"P Madzík, L Falát, L Copuš, M Valeri ",2023 ,European Journal of Innovation …,emerald.com, 47,24.0
852,"Transparency, auditability, and explainability of machine learning models in credit scoring","M Bücker, G Szepannek, A Gosiewska… ",2022 ,Journal of the …,Taylor & Francis, 113,38.0
853,An insight into diagnosis of depression using machine learning techniques: a systematic review,"S Bhadra, CJ Kumar ",2022 ,Current medical research and opinion,Taylor & Francis, 42,14.0
854,Forest fire detection system using wireless sensor networks and machine learning,"U Dampage, L Bandaranayake, R Wanasinghe… ",2022 ,Scientific reports,nature.com, 152,51.0
855,A human resources analytics and machine-learning examination of turnover: implications for theory and practice,"D Avrahami, D Pessach, G Singer… ",2022 ,International Journal of …,emerald.com, 47,16.0
856,Machine-learning rationalization and prediction of solid-state synthesis conditions,"H Huo, CJ Bartel, T He, A Trewartha, A Dunn… ",2022 ,Chemistry of …,ACS Publications, 44,15.0
857,[HTML][HTML] Physical interpretation of machine learning-based recognition of defects for the risk management of existing bridge heritage,"A Cardellicchio, S Ruggieri, A Nettis, V Renò… ",2023 ,Engineering Failure …,Elsevier, 60,30.0
858,A data-driven approach for intrusion and anomaly detection using automated machine learning for the Internet of Things,"H Xu, Z Sun, Y Cao, H Bilal ",2023 ,Soft Computing,Springer, 126,63.0
859,Electric vehicle charging system in the smart grid using different machine learning methods,"T Mazhar, RN Asif, MA Malik, MA Nadeem, I Haq… ",2023 ,Sustainability,mdpi.com, 56,28.0
860,Implementation patterns of high performance machine learning algorithms using Apache Mahout,"B Prashanth, DB Krishna, A Balasundaram… ",2022 ,AIP Conference …,pubs.aip.org, 54,18.0
861,[CITATION][C] Concept paper: Innovative approaches to food quality control: AI and machine learning for predictive analysis,"T Abass, EO Itua, T Bature… ",2024 ,World Journal …,World Journal of Advanced …, 22,22.0
862,Towards model generalization for intrusion detection: Unsupervised machine learning techniques,"M Verkerken, L D'hooge, T Wauters, B Volckaert… ",2022 ,Journal of Network and …,Springer, 79,26.0
863,[HTML][HTML] An inception V3 approach for malware classification using machine learning and transfer learning,"M Ahmed, N Afreen, M Ahmed, M Sameer… ",2023 ,International Journal of …,Elsevier, 58,29.0
864,A comparative performance of machine learning algorithm to predict electric vehicles energy consumption: A path towards sustainability,"I Ullah, K Liu, T Yamamoto… ",2022 ,Energy & …,journals.sagepub.com, 102,34.0
865,Comparative analysis of machine learning methods for active flow control,"F Pino, L Schena, J Rabault… ",2023 ,Journal of Fluid …,cambridge.org, 48,24.0
866,Machine learning based automatic vehicle alert system,"E Sudarshan, DA Kumari, YCA Reddy… ",2022 ,AIP Conference …,pubs.aip.org, 40,13.0
867,"Vaccine supply chain management: An intelligent system utilizing blockchain, IoT and machine learning","H Hu, J Xu, M Liu, MK Lim ",2023 ,Journal of business research,Elsevier, 109,54.0
868,Comparison of land use land cover classifiers using different satellite imagery and machine learning techniques,"S Basheer, X Wang, AA Farooque, RA Nawaz, K Liu… ",2022 ,Remote Sensing,mdpi.com, 109,36.0
869,A machine learning approach for energy-efficient intelligent transportation scheduling problem in a real-world dynamic circumstances,"J Mou, K Gao, P Duan, J Li, A Garg… ",2022 ,IEEE transactions on …,ieeexplore.ieee.org, 112,37.0
870,"Fruit quality evaluation using machine learning techniques: review, motivation and future perspectives","B Dhiman, Y Kumar, M Kumar ",2022 ,Multimedia Tools and Applications,Springer, 41,14.0
871,LGBM: a machine learning approach for Ethereum fraud detection,"RM Aziz, MF Baluch, S Patel, AH Ganie ",2022 ,International Journal of …,Springer, 99,33.0
872,"Machine learning for lung cancer diagnosis, treatment, and prognosis","Y Li, X Wu, P Yang, G Jiang… ",2022 ,"Genomics, Proteomics and …",academic.oup.com, 72,24.0
873,"Statistical, machine learning and deep learning forecasting methods: Comparisons and ways forward","S Makridakis, E Spiliotis… ",2023 ,Journal of the …,Taylor & Francis, 58,29.0
874,Implementation of machine learning classification techniques for intrusion detection system,"P William, VNR Inukollu, V Ramasamy… ",2023 ,2023 4th …,ieeexplore.ieee.org, 28,14.0
875,Option return predictability with machine learning and big data,"TG Bali, H Beckmeyer, M Moerke… ",2023 ,The Review of Financial …,academic.oup.com, 101,50.0
876,"Applications of machine learning in friction stir welding: Prediction of joint properties, real-time control and tool failure diagnosis",AH Elsheikh ,2023 ,Engineering Applications of Artificial Intelligence,Elsevier, 116,58.0
877,[HTML][HTML] Customer churning analysis using machine learning algorithms,"B Prabadevi, R Shalini, BR Kavitha ",2023 ,International Journal of Intelligent …,Elsevier, 35,18.0
878,Towards understanding fairness and its composition in ensemble machine learning,"U Gohar, S Biswas, H Rajan ",2023 ,2023 IEEE/ACM 45th …,ieeexplore.ieee.org, 24,12.0
879,Generalizability of machine learning models: quantitative evaluation of three methodological pitfalls,"F Maleki, K Ovens, R Gupta, C Reinhold… ",2022 ,Radiology: Artificial …,pubs.rsna.org, 45,15.0
880,Predicting financial crises with machine learning methods,"L Liu, C Chen, B Wang ",2022 ,Journal of Forecasting,Wiley Online Library, 31,10.0
881,Implementation of The Future of Drug Discovery: QuantumBased Machine Learning Simulation (QMLS),"Y Zhou, YK Wong, YS Liang, H Qiu, YX Wu… ",2023 ,arXiv preprint arXiv …,arxiv.org, 13,6.0
882,[HTML][HTML] How can machine learning be used in stress management: A systematic literature review of applications in workplaces and education,"S Mittal, S Mahendra, V Sanap, P Churi ",2022 ,International Journal of …,Elsevier, 50,17.0
883,[HTML][HTML] Comparative study of machine learning methods and GR2M model for monthly runoff prediction,"P Ditthakit, S Pinthong, N Salaeh, J Weekaew… ",2023 ,Ain Shams Engineering …,Elsevier, 25,12.0
884,The worst of both worlds: A comparative analysis of errors in learning from data in psychology and machine learning,"J Hullman, S Kapoor, P Nanayakkara… ",2022 ,Proceedings of the …,dl.acm.org, 43,14.0
885,Predictive modelling and analytics of students' grades using machine learning algorithms,"YT Badal, RK Sungkur ",2023 ,Education and information technologies,Springer, 35,18.0
886,Educational data mining: prediction of students' academic performance using machine learning algorithms,M Yağcı ,2022 ,Smart Learning Environments,Springer, 353,118.0
887,Predicting chronic kidney disease using machine learning algorithms,"A Farjana, FT Liza, PP Pandit, MC Das… ",2023 ,2023 IEEE 13th …,ieeexplore.ieee.org, 43,22.0
888,Performance comparison of deep learning and machine learning methods in determining wetland water areas using EuroSAT dataset,MA Günen ,2022 ,Environmental Science and Pollution Research,Springer, 45,15.0
889,SuperPred 3.0: drug classification and target prediction—a machine learning approach,"K Gallo, A Goede, R Preissner… ",2022 ,Nucleic Acids …,academic.oup.com, 88,29.0
890,Machine-learning exploration of polymer compatibility,"Z Liang, Z Li, S Zhou, Y Sun, J Yuan… ",2022 ,Cell Reports Physical …,cell.com, 22,7.0
891,ProcessGAN: Supporting the creation of business process improvement ideas through generative machine learning,"C van Dun, L Moder, W Kratsch, M Röglinger ",2023 ,Decision Support Systems,Elsevier, 48,24.0
892,Application of innovative machine learning techniques for long-term rainfall prediction,"S Markuna, P Kumar, R Ali, DK Vishwkarma… ",2023 ,Pure and Applied …,Springer, 38,19.0
893,Based on intelligent advertising recommendation and abnormal advertising monitoring system in the field of machine learning,B Liu ,2023 ,International Journal of Computer Science and …,wepub.org, 47,24.0
894,Blindfl: Vertical federated machine learning without peeking into your data,"F Fu, H Xue, Y Cheng, Y Tao, B Cui ",2022 ,Proceedings of the 2022 …,dl.acm.org, 51,17.0
895,Artificial intelligence and machine learning applications in biopharmaceutical manufacturing,"AS Rathore, S Nikita, G Thakur, S Mishra ",2023 ,Trends in Biotechnology,cell.com, 50,25.0
896,Machine Learning: Supervised Algorithms to Determine the Defect in High‐Precision Foundry Operation,"BramahHazela, J Hymavathi, TR Kumar… ",2022 ,Journal of …,Wiley Online Library, 37,12.0
897,Application of machine learning-based k-means clustering for financial fraud detection,"Z Huang, H Zheng, C Li, C Che ",2024 ,Academic Journal of Science and …,drpress.org, 64,64.0
898,"A survey on intersectional fairness in machine learning: Notions, mitigation, and challenges","U Gohar, L Cheng ",2023 ,arXiv preprint arXiv:2305.06969,arxiv.org, 28,14.0
899,[HTML][HTML] Feedback on a shared big dataset for intelligent TBM Part I: Feature extraction and machine learning methods,"JB Li, ZY Chen, X Li, LJ Jing, YP Zhang, HH Xiao… ",2023 ,Underground …,Elsevier, 33,16.0
900,High-dimensional role of AI and machine learning in cancer research,E Capobianco ,2022 ,British journal of cancer,nature.com, 39,13.0
901,Machine‐learning modeling for ultra‐stable high‐efficiency perovskite solar cells,"Y Hu, X Hu, L Zhang, T Zheng, J You… ",2022 ,Advanced Energy …,Wiley Online Library, 39,13.0
902,Machine learning methods applied to triage in emergency services: A systematic review,"R Sánchez-Salmerón, JL Gómez-Urquiza… ",2022 ,International Emergency …,Elsevier, 68,23.0
903,"Predictive chemistry: machine learning for reaction deployment, reaction development, and reaction discovery","Z Tu, T Stuyver, CW Coley ",2023 ,Chemical science,pubs.rsc.org, 63,32.0
904,[HTML][HTML] How does the model make predictions? A systematic literature review on the explainability power of machine learning in healthcare,"J Allgaier, L Mulansky, RL Draelos, R Pryss ",2023 ,Artificial Intelligence in …,Elsevier, 45,22.0
905,[HTML][HTML] Machine learning-based diagnosis of breast cancer utilizing feature optimization technique,"KMM Uddin, N Biswas, ST Rikta, SK Dey ",2023 ,Computer Methods and …,Elsevier, 45,22.0
906,A survey on multimodal bidirectional machine learning translation of image and natural language processing,"W Nam, B Jang ",2024 ,Expert Systems with Applications,Elsevier, 13,13.0
907,Cardiovascular complications in a diabetes prediction model using machine learning: a systematic review,"OT Kee, H Harun, N Mustafa, NA Abdul Murad… ",2023 ,Cardiovascular …,Springer, 38,19.0
908,Machine learning-assisted low-dimensional electrocatalysts design for hydrogen evolution reaction,"J Li, N Wu, J Zhang, HH Wu, K Pan, Y Wang, G Liu… ",2023 ,Nano-Micro Letters,Springer, 36,18.0
909,Supervised machine learning models for liver disease risk prediction,"E Dritsas, M Trigka ",2023 ,Computers,mdpi.com, 52,26.0
910,Spam detection using bidirectional transformers and machine learning classifier algorithms,"Y Guo, Z Mustafaoglu… ",2023 ,journal of Computational …,ojs.bonviewpress.com, 155,78.0
911,[HTML][HTML] Comparison of machine learning methods for photovoltaic power forecasting based on numerical weather prediction,"D Markovics, MJ Mayer ",2022 ,Renewable and Sustainable Energy Reviews,Elsevier, 216,72.0
912,Emerging trends in machine learning to predict crop yield and study its influential factors: A survey,"N Bali, A Singla ",2022 ,Archives of computational methods in engineering,Springer, 107,36.0
913,Evaluation of geopolymer concrete at high temperatures: An experimental study using machine learning,"M Rahmati, V Toufigh ",2022 ,Journal of Cleaner Production,Elsevier, 54,18.0
914,[HTML][HTML] Comparative analysis of breast cancer detection using machine learning and biosensors,"Y Amethiya, P Pipariya, S Patel, M Shah ",2022 ,Intelligent Medicine,Elsevier, 87,29.0
915,Evaluating compressive strength of concrete made with recycled concrete aggregates using machine learning approach,"VQ Tran, VQ Dang, LS Ho ",2022 ,Construction and Building Materials,Elsevier, 195,65.0
916,A concise review on recent developments of machine learning for the prediction of vibrational spectra,"R Han, R Ketkaew, S Luber ",2022 ,The Journal of Physical Chemistry A,ACS Publications, 37,12.0
917,Impact of feature scaling on machine learning models for the diagnosis of diabetes,"DU Ozsahin, MT Mustapha, AS Mubarak… ",2022 ,… in Everything (AIE),ieeexplore.ieee.org, 58,19.0
918,"New era of artificial intelligence and machine learning-based detection, diagnosis, and therapeutics in Parkinson's disease","R Gupta, S Kumari, A Senapati, RK Ambasta… ",2023 ,Ageing research …,Elsevier, 52,26.0
919,"Deep learning and machine learning in psychiatry: a survey of current progress in depression detection, diagnosis and treatment","M Squires, X Tao, S Elangovan, R Gururajan, X Zhou… ",2023 ,Brain Informatics,Springer, 38,19.0
920,HealthCloud: A system for monitoring health status of heart patients using machine learning and cloud computing,"F Desai, D Chowdhury, R Kaur, M Peeters, RC Arya… ",2022 ,Internet of Things,Elsevier, 77,26.0
921,Enhanced membership inference attacks against machine learning models,"J Ye, A Maddi, SK Murakonda… ",2022 ,Proceedings of the …,dl.acm.org, 217,72.0
922,Estimating the density of deep eutectic solvents applying supervised machine learning techniques,"M Abdollahzadeh, M Khosravi… ",2022 ,Scientific Reports,nature.com, 55,18.0
923,Web application based Diabetes prediction using Machine Learning,"GR Kumar, RV Reddy, M Jayarathna… ",2023 ,… on Advances in …,ieeexplore.ieee.org, 33,16.0
924,Fraudulent financial transactions detection using machine learning,"MMM Megdad, SS Abu-Naser, BS Abu-Nasser ",2022 ,2022 ,philpapers.org, 50,17.0
925,Adversarial machine learning for network intrusion detection: A comparative study,"H Jmila, MI Khedher ",2022 ,Computer Networks,Elsevier, 56,19.0
